"review_id";"title";"review_text";"rating";"review_date";"word"
"1";"Exceptional service";"What a beautiful property! The ocean view exceeded our expectations. Can't wait to come back.";"5";"July 2025";"beautiful"
"1";"Exceptional service";"What a beautiful property! The ocean view exceeded our expectations. Can't wait to come back.";"5";"July 2025";"property"
"1";"Exceptional service";"What a beautiful property! The ocean view exceeded our expectations. Can't wait to come back.";"5";"July 2025";"ocean"
"1";"Exceptional service";"What a beautiful property! The ocean view exceeded our expectations. Can't wait to come back.";"5";"July 2025";"view"
"1";"Exceptional service";"What a beautiful property! The ocean view exceeded our expectations. Can't wait to come back.";"5";"July 2025";"exceeded"
"1";"Exceptional service";"What a beautiful property! The ocean view exceeded our expectations. Can't wait to come back.";"5";"July 2025";"expectations"
"1";"Exceptional service";"What a beautiful property! The ocean view exceeded our expectations. Can't wait to come back.";"5";"July 2025";"wait"
"2";"Breathtaking views";"Absolutely stunning resort. The resort architecture was outstanding. Worth every penny.";"5";"February 2025";"absolutely"
"2";"Breathtaking views";"Absolutely stunning resort. The resort architecture was outstanding. Worth every penny.";"5";"February 2025";"stunning"
"2";"Breathtaking views";"Absolutely stunning resort. The resort architecture was outstanding. Worth every penny.";"5";"February 2025";"resort"
"2";"Breathtaking views";"Absolutely stunning resort. The resort architecture was outstanding. Worth every penny.";"5";"February 2025";"resort"
"2";"Breathtaking views";"Absolutely stunning resort. The resort architecture was outstanding. Worth every penny.";"5";"February 2025";"architecture"
"2";"Breathtaking views";"Absolutely stunning resort. The resort architecture was outstanding. Worth every penny.";"5";"February 2025";"outstanding"
"2";"Breathtaking views";"Absolutely stunning resort. The resort architecture was outstanding. Worth every penny.";"5";"February 2025";"worth"
"2";"Breathtaking views";"Absolutely stunning resort. The resort architecture was outstanding. Worth every penny.";"5";"February 2025";"penny"
"3";"Perfect getaway";"My partner and I visited Bali. Our private villa was incredible 😍! Truly an authentic experience.";"4";"December 2025";"partner"
"3";"Perfect getaway";"My partner and I visited Bali. Our private villa was incredible 😍! Truly an authentic experience.";"4";"December 2025";"visited"
"3";"Perfect getaway";"My partner and I visited Bali. Our private villa was incredible 😍! Truly an authentic experience.";"4";"December 2025";"bali"
"3";"Perfect getaway";"My partner and I visited Bali. Our private villa was incredible 😍! Truly an authentic experience.";"4";"December 2025";"private"
"3";"Perfect getaway";"My partner and I visited Bali. Our private villa was incredible 😍! Truly an authentic experience.";"4";"December 2025";"villa"
"3";"Perfect getaway";"My partner and I visited Bali. Our private villa was incredible 😍! Truly an authentic experience.";"4";"December 2025";"incredible"
"3";"Perfect getaway";"My partner and I visited Bali. Our private villa was incredible 😍! Truly an authentic experience.";"4";"December 2025";"authentic"
"3";"Perfect getaway";"My partner and I visited Bali. Our private villa was incredible 😍! Truly an authentic experience.";"4";"December 2025";"experience"
"4";"Breathtaking views";"What a beautiful property! The ocean view was outstanding. Highly recommended!";"5";"January 2026";"beautiful"
"4";"Breathtaking views";"What a beautiful property! The ocean view was outstanding. Highly recommended!";"5";"January 2026";"property"
"4";"Breathtaking views";"What a beautiful property! The ocean view was outstanding. Highly recommended!";"5";"January 2026";"ocean"
"4";"Breathtaking views";"What a beautiful property! The ocean view was outstanding. Highly recommended!";"5";"January 2026";"view"
"4";"Breathtaking views";"What a beautiful property! The ocean view was outstanding. Highly recommended!";"5";"January 2026";"outstanding"
"4";"Breathtaking views";"What a beautiful property! The ocean view was outstanding. Highly recommended!";"5";"January 2026";"highly"
"4";"Breathtaking views";"What a beautiful property! The ocean view was outstanding. Highly recommended!";"5";"January 2026";"recommended"
